account_type,media_type,content_category,traffic_source,follower_count,hashtags_count,caption_length,has_cta,is_weekend,post_hour,likes,comments,shares,saves,normalized_engagement,is_viral
creator,image,food,external,3447,6,119,0,0,17,269,6,13,45,0.11894400928343488,0
brand,image,food,home feed,8167,6,114,1,0,2,313,9,19,30,0.054854903881474223,0
creator,carousel,technology,reels feed,9696,6,130,0,0,13,215,6,11,37,0.03444719471947195,0
creator,image,fashion,reels feed,8167,10,133,1,0,16,57,3,4,6,0.010652626423411289,0
creator,carousel,comedy,hashtags,22291,8,128,0,0,23,320,14,26,44,0.023058633529227043,0
creator,carousel,lifestyle,home feed,9044,12,125,1,0,13,169,3,8,28,0.02819548872180451,0
brand,carousel,fitness,reels feed,9461,10,157,1,0,20,163,4,12,25,0.027164147553112777,0
creator,image,food,profile,8167,8,128,0,0,7,139,1,4,16,0.022652136647483775,0
brand,image,food,hashtags,3447,5,122,0,0,11,89,2,3,20,0.041195242239628664,0
creator,carousel,travel,reels feed,4972,8,107,0,0,13,52,0,3,12,0.017095736122284794,0
creator,carousel,travel,home feed,9044,8,109,0,0,1,95,1,7,15,0.016364440513047324,0
brand,carousel,photography,explore,10739,8,115,1,0,5,200,7,12,32,0.029239221529006425,0
creator,image,music,explore,10018,14,117,0,0,11,147,5,7,17,0.021161908564583748,0
creator,image,comedy,profile,5824,8,128,0,0,3,232,9,11,28,0.058207417582417584,0
creator,carousel,travel,home feed,4542,7,116,0,0,3,116,2,8,18,0.03963011889035667,0
creator,image,travel,profile,9044,3,112,0,0,15,44,1,1,10,0.00762936753648828,0
creator,carousel,lifestyle,reels feed,7486,6,116,0,0,19,229,7,13,36,0.04728827144002137,0
creator,carousel,photography,explore,22291,10,121,1,0,15,110,2,8,12,0.007267507065631869,0
creator,reel,travel,reels feed,3551,6,115,1,0,23,749,23,35,133,0.3283582089552239,1
creator,reel,fitness,explore,6916,8,116,1,0,7,126,3,0,19,0.024580682475419318,0
creator,reel,lifestyle,profile,4542,16,132,0,0,2,727,19,27,112,0.23557904007045355,1
creator,carousel,music,home feed,7486,7,126,1,0,7,80,0,5,14,0.01643067058509217,0
creator,image,fashion,home feed,3551,4,110,1,0,23,66,2,4,8,0.0275978597578147,0
creator,carousel,lifestyle,profile,3551,14,133,1,0,12,114,5,9,18,0.05266122219093213,0
creator,reel,fashion,profile,10018,6,121,0,0,6,203,6,7,32,0.029946097025354362,0
creator,image,food,home feed,13798,6,118,0,0,1,322,7,21,50,0.03616466154515147,0
creator,reel,photography,hashtags,3551,10,122,0,0,4,470,14,22,79,0.20332300760349198,1
creator,carousel,music,reels feed,15923,8,123,0,0,13,368,12,25,54,0.036111285561766,0
creator,reel,photography,home feed,9461,9,126,0,0,4,379,19,14,48,0.05866187506606067,0
creator,image,music,profile,10739,6,136,0,0,3,296,6,10,39,0.03873731259893845,0
creator,reel,photography,hashtags,9696,3,127,0,0,16,721,23,38,112,0.11396452145214521,0
brand,image,lifestyle,explore,8167,10,116,1,0,19,754,18,40,112,0.13885147544998164,1
creator,reel,photography,reels feed,22291,7,109,0,0,0,209,8,8,33,0.014131263738728635,0
brand,image,beauty,profile,6916,8,143,1,0,15,198,9,8,28,0.042799305957200696,0
creator,reel,music,home feed,3551,9,131,0,0,10,51,1,4,7,0.02224725429456491,0
creator,image,fashion,explore,4972,5,107,0,0,22,335,15,19,48,0.10418342719227675,0
creator,carousel,music,external,31095,10,124,0,0,10,105,8,0,14,0.00479176716513909,0
creator,image,food,home feed,7486,9,122,0,0,16,144,0,2,32,0.028586695164306706,0
creator,carousel,fitness,reels feed,4972,8,107,0,0,3,31,3,1,4,0.009654062751407884,0
creator,carousel,beauty,explore,5824,8,126,0,0,15,83,0,4,14,0.021119505494505496,0
creator,reel,technology,external,9461,6,126,0,0,11,313,9,14,54,0.05084029172391925,0
creator,reel,music,home feed,10018,3,133,0,0,22,182,3,7,29,0.026652026352565382,0
creator,image,travel,profile,9696,11,110,0,0,4,109,1,6,12,0.01577970297029703,0
creator,reel,lifestyle,explore,4972,3,141,0,0,12,282,7,13,40,0.083467417538214,0
creator,image,lifestyle,external,9696,11,137,1,0,12,0,14,16,54,0.018976897689768978,0
brand,carousel,photography,external,3447,4,132,0,0,2,83,2,3,11,0.034232666086451986,0
brand,image,photography,profile,9461,11,129,0,0,8,716,18,28,118,0.11330726138885953,0
creator,reel,lifestyle,profile,10739,9,131,1,0,17,28,0,5,1,0.004190334295558246,0
creator,reel,comedy,external,3447,6,119,0,0,17,458,22,19,73,0.20452567449956485,1
creator,image,beauty,profile,9044,3,116,0,0,14,1262,39,71,195,0.21483856700574966,1
creator,image,beauty,hashtags,5824,15,129,0,0,23,25,0,1,0,0.004807692307692308,0
brand,carousel,fashion,home feed,31095,5,115,0,0,20,424,16,20,0,0.01659430776652195,0
creator,image,music,reels feed,10739,10,109,0,0,14,50,0,0,4,0.005400875314275072,0
brand,image,technology,reels feed,4972,6,116,1,0,6,53,2,2,11,0.017095736122284794,0
brand,reel,lifestyle,external,4972,11,112,0,0,8,325,5,20,49,0.09915526950925181,0
creator,carousel,music,home feed,4972,6,125,0,0,15,312,8,16,29,0.08728881737731295,0
creator,reel,beauty,external,4972,7,128,1,0,1,486,15,18,76,0.14521319388576026,1
brand,image,food,hashtags,31095,10,127,1,0,22,241,9,12,42,0.01218845473548802,0
creator,image,lifestyle,external,7486,8,120,1,0,22,199,13,8,28,0.04074271974352124,0
creator,reel,music,explore,7486,6,131,1,0,19,324,9,22,53,0.06866150146940957,0
creator,carousel,beauty,external,9696,10,141,0,0,12,630,18,44,94,0.1016914191419142,0
creator,image,fitness,hashtags,6916,6,115,0,0,22,141,2,14,16,0.0316657027183343,0
creator,carousel,beauty,hashtags,7486,7,106,0,0,3,363,13,11,0,0.056371894202511354,0
creator,image,photography,home feed,22291,11,125,0,0,13,490,20,26,86,0.034991700686375665,0
creator,reel,travel,reels feed,4972,4,102,1,0,8,97,3,7,15,0.030973451327433628,0
brand,carousel,comedy,reels feed,13798,10,126,1,0,13,154,4,11,21,0.01717640237715611,0
creator,image,comedy,profile,3551,10,107,1,0,10,287,9,13,52,0.12616164460715293,0
creator,carousel,photography,explore,8167,10,106,0,0,19,2130,66,98,348,0.39818782906820127,1
creator,reel,photography,external,3551,12,125,0,0,12,79,3,3,9,0.03154041115178823,0
creator,reel,lifestyle,home feed,15923,6,118,0,0,16,841,27,46,134,0.08170570872323055,0
creator,carousel,fitness,external,9696,7,116,0,0,21,398,20,19,53,0.06198432343234323,0
brand,image,fitness,profile,3447,9,113,1,0,4,489,8,21,92,0.2181607194662025,1
creator,carousel,lifestyle,home feed,6916,12,121,1,0,3,0,3,5,0,0.003036437246963563,0
brand,carousel,music,hashtags,3083,5,112,1,0,12,160,7,10,17,0.07719753486863444,0
brand,reel,lifestyle,external,15923,14,123,0,0,11,925,29,46,130,0.086729887583998,0
creator,reel,technology,explore,10739,9,119,1,0,2,197,5,8,32,0.02746996927088183,0
creator,reel,technology,hashtags,22291,6,117,0,0,3,179,7,7,0,0.009600287111390247,0
creator,reel,comedy,external,31095,8,116,0,0,16,511,21,30,84,0.026081363563273837,0
creator,image,beauty,profile,9696,10,124,0,0,20,3507,141,150,501,0.5405321782178217,1
creator,carousel,lifestyle,hashtags,3083,6,121,0,0,17,388,13,21,63,0.1955887122932209,1
creator,reel,lifestyle,profile,3083,8,118,1,0,14,741,23,48,122,0.381122283490107,1
brand,reel,music,explore,9461,9,127,0,0,6,926,30,54,138,0.15051263080012683,1
creator,reel,fashion,explore,10018,9,105,1,0,8,210,5,9,33,0.031243761229786386,0
brand,carousel,comedy,explore,3551,13,120,1,0,13,208,5,9,24,0.08251196845958884,0
creator,image,comedy,external,8167,6,108,1,0,21,477,17,21,67,0.08669033916982981,0
brand,image,comedy,external,3447,11,114,0,0,21,518,24,26,77,0.23150565709312446,1
creator,image,beauty,external,31095,4,121,1,0,9,133,6,5,29,0.007010773436243769,0
brand,image,photography,profile,22291,4,125,1,0,9,442,18,21,72,0.030729890987394017,0
creator,image,food,reels feed,3447,9,117,1,0,18,576,23,33,81,0.2561647809689585,1
creator,reel,fashion,explore,6916,7,128,0,0,23,157,3,2,24,0.03137651821862348,0
creator,image,beauty,explore,3447,5,132,0,0,12,217,8,13,45,0.10501885697708152,0
brand,reel,technology,external,10739,9,126,0,0,2,605,24,33,99,0.08846261290622963,0
creator,reel,music,explore,7486,6,110,0,0,15,88,2,3,9,0.015896339834357467,0
brand,image,photography,external,9696,8,116,0,0,10,1461,38,59,0,0.17677392739273928,1
creator,reel,technology,explore,4972,3,119,1,0,3,822,25,39,122,0.24798873692679002,1
creator,reel,photography,hashtags,13798,7,108,1,0,2,219,12,10,33,0.024568778083780256,0
creator,image,fitness,external,3551,8,138,1,0,1,203,8,11,31,0.08842579555054914,0
creator,image,comedy,profile,3083,7,133,0,0,14,264,10,13,41,0.1313655530327603,0
brand,reel,photography,profile,13798,10,113,0,0,0,112,1,2,9,0.01000144948543267,0
creator,image,travel,external,10018,8,123,1,0,0,183,3,7,22,0.02535436214813336,0
creator,carousel,comedy,explore,10739,10,109,1,0,0,175,6,12,29,0.026166309712263712,0
creator,image,comedy,profile,15923,7,142,1,0,20,271,5,21,40,0.02662814796206745,0
creator,reel,music,home feed,4542,4,143,0,0,9,182,6,6,37,0.06296785557023338,0
creator,carousel,fashion,home feed,4542,9,109,0,0,0,357,11,14,56,0.11734918538088948,0
creator,carousel,technology,profile,9044,9,138,1,0,15,125,3,10,21,0.02244582043343653,0
creator,reel,photography,home feed,15923,10,124,0,0,4,383,10,22,63,0.03736733027695786,0
creator,carousel,photography,external,10739,5,118,0,0,19,823,29,0,141,0.10829686190520532,0
brand,image,fitness,external,5824,6,131,0,0,17,212,10,12,34,0.057692307692307696,0
creator,image,comedy,home feed,4542,7,135,0,0,2,631,28,43,90,0.2192866578599736,1
creator,image,lifestyle,hashtags,6916,3,133,0,0,7,282,3,12,35,0.05696934644303065,0
creator,image,food,explore,15923,9,108,1,0,14,84,3,5,5,0.0072222571123532,0
creator,image,lifestyle,home feed,9461,8,104,0,0,2,142,0,0,19,0.019025472994398055,0
creator,image,photography,explore,4972,7,119,0,0,18,674,30,25,115,0.20897023330651648,1
creator,carousel,lifestyle,explore,4972,9,117,0,0,1,138,6,8,28,0.04625905068382945,0
brand,image,music,external,7486,8,118,0,0,11,168,3,13,28,0.0359337429869089,0
creator,reel,travel,hashtags,6916,10,130,1,0,20,121,1,4,21,0.02559282822440717,0
creator,image,photography,reels feed,7486,11,111,0,0,17,187,8,7,21,0.03553299492385787,0
creator,reel,photography,reels feed,3083,9,132,0,0,9,62,2,4,7,0.02984106389879987,0
creator,carousel,travel,home feed,8167,9,135,1,0,9,221,10,17,35,0.04432472143994123,0
brand,reel,technology,reels feed,10034,10,115,1,0,12,89,0,6,12,0.013055610922862268,0
creator,image,travel,reels feed,4542,8,113,0,0,11,37,0,1,8,0.012329370321444297,0
brand,image,lifestyle,profile,8167,5,93,0,0,6,302,0,15,49,0.054487571935839356,0
creator,carousel,music,profile,4972,11,128,1,0,23,282,14,15,39,0.08708769106999195,0
brand,carousel,fitness,hashtags,7486,2,125,1,0,15,61,1,4,9,0.012423189954581887,0
creator,reel,technology,profile,7486,6,101,0,0,21,824,26,38,131,0.1672455249799626,1
creator,image,beauty,external,15923,13,124,0,0,8,187,3,8,26,0.01689380141933053,0
creator,image,fitness,hashtags,13798,11,106,0,0,4,287,10,7,33,0.02855486302362661,0
brand,carousel,fashion,hashtags,3551,3,120,0,0,21,401,10,20,63,0.170937764010138,1
brand,carousel,fashion,reels feed,9696,9,105,0,0,3,445,9,22,56,0.06610973597359736,0
creator,carousel,fashion,home feed,9044,4,110,0,0,8,147,4,4,22,0.023330384785493145,0
brand,image,fashion,reels feed,3083,10,137,1,0,17,901,17,40,128,0.4252351605578982,1
brand,image,music,external,10018,8,128,0,0,13,659,23,32,85,0.09692553403873029,0
creator,reel,fitness,external,3447,9,116,0,0,0,24,2,0,0,0.008123005512039455,0
creator,carousel,comedy,hashtags,7486,8,109,1,0,21,369,12,23,54,0.07614213197969544,0
creator,reel,food,reels feed,4542,11,118,0,0,5,28,1,1,2,0.008146191105239982,0
brand,carousel,technology,external,10034,8,110,0,0,5,387,10,19,62,0.05860075742475583,0
creator,image,beauty,reels feed,5824,7,116,0,0,13,116,1,6,27,0.032623626373626376,0
creator,image,lifestyle,reels feed,4542,10,136,1,0,15,1574,49,78,243,0.5266402465874064,1
brand,reel,photography,explore,7486,7,119,1,0,5,0,1,0,0,0.0002671653753673524,0
creator,image,fashion,profile,31095,2,93,0,0,19,273,11,17,33,0.013249718604277216,0
brand,image,beauty,home feed,9696,10,109,0,0,10,387,8,30,57,0.06260313531353136,0
creator,reel,photography,home feed,10034,7,106,1,0,13,58,2,4,7,0.00877018138329679,0
brand,reel,food,explore,5824,9,131,1,0,8,522,15,25,74,0.13307005494505494,0
creator,carousel,beauty,explore,4972,8,129,0,0,6,103,2,4,12,0.028761061946902654,0
creator,image,fitness,explore,3083,7,110,0,0,23,136,0,2,17,0.05708725267596497,0
creator,image,beauty,home feed,9461,10,134,1,0,7,547,15,26,0,0.0692315822851707,0
brand,carousel,fashion,external,31095,6,122,0,0,11,225,9,12,35,0.011223669400225117,0
creator,image,food,external,10739,7,141,0,0,9,614,19,34,0,0.07021137908557594,0
creator,carousel,lifestyle,home feed,15986,6,122,0,0,10,138,0,6,23,0.012636056549480796,0
creator,carousel,comedy,home feed,13798,8,112,0,0,19,111,3,10,10,0.012103203362806203,0
brand,image,travel,reels feed,22291,5,105,0,0,5,294,11,12,40,0.019380018841684984,0
creator,reel,fashion,profile,13798,13,100,0,0,11,193,0,10,34,0.021090013045368894,0
creator,image,photography,hashtags,10739,7,126,1,0,22,903,19,37,130,0.12217152435049819,0
brand,image,food,hashtags,10739,7,114,0,0,21,24,1,0,4,0.003166030356644008,0
brand,reel,fitness,home feed,5824,14,108,0,0,12,110,6,2,17,0.027815934065934064,0
creator,reel,music,home feed,6916,9,107,1,0,21,100,1,5,17,0.02183342972816657,0
creator,image,food,hashtags,4542,6,125,0,0,6,55,1,3,6,0.017173051519154558,0
creator,reel,photography,reels feed,9461,4,129,1,0,8,177,5,8,37,0.03012366557446359,0
brand,image,travel,explore,10018,8,123,0,0,23,29,2,4,4,0.005290477141145937,0
brand,image,travel,reels feed,7486,6,116,0,0,2,231,10,7,31,0.04461661768634785,0
brand,reel,technology,home feed,13798,10,124,0,0,2,127,5,10,17,0.014567328598347586,0
brand,carousel,comedy,reels feed,10018,8,139,1,0,15,109,6,7,17,0.017568376921541225,0
creator,image,photography,hashtags,6916,12,115,1,0,17,182,6,6,32,0.03990746096009254,0
creator,carousel,travel,reels feed,22291,13,119,1,0,12,30,0,1,5,0.001929029653223274,0
creator,reel,technology,external,10018,10,109,1,0,21,398,17,16,61,0.06009183469754442,0
creator,carousel,technology,explore,3083,3,121,1,0,22,36,1,0,5,0.015569250729808628,0
brand,image,technology,home feed,4972,12,115,1,0,8,47,3,1,0,0.011263073209975865,0
creator,image,food,reels feed,3447,7,129,0,0,5,310,9,19,47,0.13896141572381782,1
brand,reel,technology,profile,5824,5,136,0,0,14,34,1,1,4,0.008070054945054946,0
brand,image,fashion,hashtags,3551,8,111,1,0,8,39,1,1,7,0.016333427203604617,0
brand,reel,photography,reels feed,13798,6,125,0,0,17,120,4,5,16,0.012682997535874764,0
creator,reel,fashion,hashtags,10018,8,104,0,0,19,75,2,7,14,0.012777001397484528,0
creator,reel,music,profile,6916,11,98,1,0,12,235,12,9,27,0.049161364950838636,0
creator,reel,travel,reels feed,22291,8,110,1,0,0,101,3,7,0,0.005742227804943699,0
creator,carousel,comedy,explore,6916,12,125,1,0,5,181,6,8,25,0.03860613071139387,0
creator,reel,technology,reels feed,13798,5,119,0,0,18,83,0,2,11,0.00804464415132628,0
creator,reel,fitness,hashtags,13798,7,134,0,0,21,77,2,5,10,0.00840701550949413,0
creator,image,fitness,explore,8167,4,96,1,0,0,54,1,2,8,0.009550630586506674,0
brand,image,travel,profile,22291,11,115,0,0,23,329,9,15,47,0.02180252119689561,0
brand,carousel,music,external,7486,4,125,0,0,21,1067,30,53,160,0.21453379641998396,1
creator,carousel,fitness,home feed,5824,2,122,1,0,11,290,6,11,45,0.0729739010989011,0
brand,image,fashion,home feed,3083,8,108,1,0,22,59,2,2,2,0.02367823548491729,0
creator,image,beauty,home feed,10739,10,126,0,0,15,350,6,23,62,0.05168078964521836,0
brand,image,food,home feed,4542,8,107,1,0,3,71,3,3,8,0.022457067371202115,0
creator,carousel,lifestyle,home feed,13798,5,113,0,0,3,256,10,12,34,0.02754022322075663,0
brand,reel,fitness,hashtags,4542,13,110,1,0,9,548,16,20,92,0.1814178775869661,1
brand,reel,comedy,reels feed,9044,3,107,0,0,13,213,6,14,32,0.03659885006634233,0
creator,carousel,technology,external,22291,11,131,0,0,19,220,3,12,49,0.016150015701404154,0
creator,image,comedy,home feed,10739,9,115,1,0,17,119,1,9,20,0.017506285501443338,0
brand,carousel,photography,hashtags,3551,9,119,1,0,2,240,5,12,40,0.10306955787102225,0
brand,image,food,home feed,10034,6,121,1,0,5,311,14,16,42,0.046940402631054416,0
brand,reel,fashion,home feed,10018,9,117,0,0,17,1204,0,73,189,0.17977640247554402,1
creator,carousel,music,external,5824,6,130,0,0,8,185,3,6,25,0.04447115384615385,0
creator,carousel,food,home feed,10018,10,115,0,0,12,237,9,15,33,0.03653423837093232,0
creator,image,lifestyle,explore,10034,7,112,0,0,18,23,1,0,1,0.002690851106238788,0
brand,reel,beauty,hashtags,9044,8,104,1,0,9,61,2,3,5,0.009287925696594427,0
brand,image,fitness,profile,15923,4,113,0,0,15,172,3,9,33,0.017019405890849715,0
creator,image,music,profile,4542,6,139,0,0,18,295,7,17,44,0.09863496257155438,0
brand,image,music,hashtags,13798,4,111,0,0,5,474,8,23,0,0.04051311784316568,0
creator,image,fitness,profile,15923,13,105,0,0,1,407,16,19,74,0.04044463982917792,0
creator,image,fitness,explore,4972,9,109,0,0,15,179,9,7,19,0.05148833467417538,0
creator,image,fitness,explore,22291,8,141,0,0,19,901,31,46,142,0.06213269929567987,0
creator,carousel,fitness,reels feed,9044,6,111,0,0,13,143,0,8,15,0.021782397169394074,0
creator,carousel,fitness,external,3551,9,129,0,0,0,244,6,11,48,0.10842016333427204,0
creator,carousel,music,explore,22291,9,110,0,0,3,172,7,10,30,0.012381678704409852,0
creator,reel,travel,reels feed,7486,6,133,1,0,20,1011,18,66,171,0.21199572535399414,1
brand,carousel,travel,profile,4972,11,137,0,0,4,70,0,2,19,0.022928399034593726,0
creator,carousel,comedy,explore,15986,7,119,0,0,9,40,1,2,2,0.0032528462404604027,0
creator,reel,travel,explore,31095,4,117,1,0,17,195,5,12,28,0.009551374819102749,0
creator,image,lifestyle,profile,3083,4,143,0,0,8,164,6,6,29,0.0817385663314953,0
creator,carousel,travel,home feed,13798,7,123,0,0,6,252,6,16,33,0.027395274677489492,0
brand,carousel,music,hashtags,7486,10,139,0,0,3,102,2,5,17,0.02070531659096981,0
creator,carousel,fitness,profile,9044,2,138,0,0,20,142,3,10,18,0.023662096417514374,0
creator,carousel,technology,profile,15986,6,97,1,0,14,634,16,35,76,0.05773802076817215,0
creator,image,technology,hashtags,22291,3,102,0,0,16,197,7,9,26,0.013009734870575568,0
brand,image,lifestyle,explore,8167,14,115,0,0,4,106,2,12,14,0.021305252846822578,0
creator,carousel,photography,reels feed,6916,3,114,0,0,10,976,29,61,130,0.21356275303643724,1
creator,image,music,hashtags,3447,4,121,1,0,5,66,2,0,6,0.023788801856686973,0
brand,carousel,fashion,hashtags,31095,6,137,0,0,4,188,3,3,21,0.007879080237980382,0
creator,reel,food,profile,15986,6,117,0,0,21,450,15,23,66,0.042599774802952586,0
creator,image,comedy,reels feed,3447,12,128,1,0,22,251,4,12,36,0.10646939367566,0
creator,image,fashion,profile,10739,4,111,1,0,12,116,4,10,19,0.017878759661048516,0
brand,carousel,music,reels feed,9044,6,144,0,0,5,958,30,43,140,0.1577841662980982,1
brand,carousel,travel,home feed,8167,9,117,0,0,14,51,2,0,6,0.008203746785845475,0
creator,carousel,fitness,home feed,15986,7,122,0,0,12,47,0,0,7,0.0038158388590016266,0
creator,reel,fashion,home feed,3447,12,125,1,0,12,248,6,8,37,0.10385842761821874,0
creator,carousel,food,external,15986,8,113,1,0,9,118,4,4,18,0.010884523958463656,0
brand,image,photography,home feed,3447,4,114,0,0,1,320,12,18,44,0.1409921671018277,1
creator,carousel,technology,home feed,7486,9,110,0,0,1,127,2,11,0,0.021907560780122896,0
creator,carousel,photography,reels feed,4542,4,104,0,0,8,1032,41,58,142,0.34610303830911493,1
creator,carousel,food,hashtags,3551,10,129,0,0,21,164,5,8,0,0.0557589411433399,0
brand,reel,fitness,explore,6916,12,124,1,0,19,447,13,28,54,0.09615384615384616,0
creator,carousel,travel,hashtags,9461,8,105,1,0,9,1570,63,74,231,0.25155903181481876,1
creator,carousel,food,explore,3447,7,132,1,0,20,355,12,10,43,0.14360313315926893,1
creator,carousel,comedy,home feed,10739,10,111,0,0,10,17,0,1,4,0.002607319117236242,0
brand,carousel,food,reels feed,3447,14,124,0,0,20,188,4,0,26,0.07194662024949232,0
brand,image,music,explore,9461,10,94,1,0,7,160,5,6,31,0.026424268047775076,0
creator,reel,travel,home feed,8167,6,113,1,0,20,113,3,3,13,0.018856373209256764,0
creator,carousel,fitness,home feed,9696,8,117,1,0,17,433,16,28,64,0.06982260726072607,0
creator,image,technology,external,3551,9,123,0,0,1,44,0,1,5,0.016051816389749365,0
creator,image,technology,external,13798,6,111,1,0,20,366,10,23,55,0.0409479634729671,0
creator,carousel,food,profile,15986,8,136,1,0,3,587,20,30,81,0.0549856124108595,0
creator,image,music,home feed,10739,2,129,1,0,17,336,10,14,0,0.037061178880715154,0
brand,carousel,fashion,external,4542,10,129,0,0,21,442,14,21,67,0.14685160722148832,1
creator,carousel,photography,external,10739,7,128,0,0,15,73,0,4,0,0.007915075891610019,0
brand,reel,photography,explore,15923,6,108,1,0,23,200,7,8,26,0.018212648370281984,0
brand,reel,photography,profile,10739,11,110,0,0,1,172,5,8,22,0.023279634975323586,0
creator,carousel,fashion,external,8167,10,120,0,0,6,335,7,14,56,0.061589322884780216,0
creator,image,music,reels feed,5824,6,123,1,0,3,616,0,21,91,0.14783653846153846,1
brand,image,photography,home feed,9461,8,133,1,0,4,531,11,23,80,0.08265511045344044,0
brand,carousel,comedy,home feed,9044,6,124,1,0,17,0,1,4,9,0.0035382574082264487,0
creator,reel,fashion,external,9461,8,109,0,0,9,245,6,14,0,0.03160342458513899,0
creator,carousel,fashion,external,9044,6,106,0,0,8,188,4,4,26,0.028748341441839895,0
brand,carousel,fitness,reels feed,7486,6,109,1,0,15,90,1,3,12,0.016697835960459526,0
creator,reel,fitness,explore,7486,11,117,1,0,18,149,4,9,18,0.029388191290408764,0
creator,image,travel,external,9696,5,110,1,0,16,194,7,9,34,0.03125,0
brand,reel,comedy,reels feed,5824,7,121,0,0,3,128,0,5,15,0.029704670329670328,0
brand,image,comedy,hashtags,3551,12,119,1,0,0,0,10,18,39,0.04280484370599831,0
creator,carousel,travel,reels feed,9461,8,119,1,0,5,113,3,8,14,0.018074199344678153,0
creator,carousel,comedy,reels feed,9696,7,105,0,0,15,501,14,29,72,0.07838283828382839,0
creator,carousel,lifestyle,hashtags,9461,8,134,1,0,12,29,1,3,4,0.005073459465172815,0
creator,carousel,beauty,profile,15923,13,129,1,0,3,368,10,15,67,0.03560886767568926,0
brand,image,photography,external,10034,10,129,1,0,19,92,5,6,10,0.013952561291608531,0
creator,image,fitness,external,22291,11,117,0,0,8,1403,53,69,212,0.09600287111390247,0
brand,image,travel,home feed,15923,6,111,0,0,22,170,3,5,25,0.015135338818061924,0
creator,carousel,travel,external,10034,9,105,0,0,3,554,12,29,98,0.08580825194339246,0
creator,reel,comedy,profile,3083,8,120,1,0,4,21,0,2,5,0.012001297437560817,0
creator,carousel,fashion,home feed,7486,9,107,0,0,3,62,2,1,9,0.011621693828479829,0
creator,carousel,technology,home feed,10034,9,108,0,0,20,86,2,4,16,0.013354594379111023,0
brand,carousel,food,profile,4542,10,149,1,0,10,119,3,3,16,0.036547776309995596,0
brand,carousel,food,hashtags,7486,7,122,1,0,16,328,10,18,55,0.06839433609404222,0
creator,carousel,travel,external,6916,13,108,0,0,6,192,4,4,23,0.0373048004626952,0
brand,image,photography,explore,15986,11,114,0,0,8,255,5,16,44,0.025084448892781185,0
creator,carousel,lifestyle,explore,4542,8,107,0,0,16,95,6,7,13,0.033905768383971815,0
creator,image,photography,external,15923,9,116,0,0,18,279,11,26,45,0.029454248571249137,0
creator,image,travel,reels feed,10034,11,131,0,0,12,340,10,22,47,0.0518237990831174,0
creator,image,photography,home feed,3083,14,126,0,0,22,124,4,10,23,0.06746675316250406,0
creator,image,fitness,reels feed,10034,7,126,0,0,3,186,7,9,34,0.029400039864460832,0
creator,carousel,photography,reels feed,3551,9,131,1,0,8,257,7,11,37,0.10644888763728527,0
creator,carousel,comedy,reels feed,13798,9,135,0,0,10,153,5,3,23,0.01579939121611828,0
creator,reel,comedy,external,10018,7,130,0,0,12,107,8,5,16,0.016969454981034138,0
creator,carousel,lifestyle,reels feed,3083,7,108,0,0,23,166,1,11,24,0.08076548816088226,0
creator,reel,fitness,reels feed,3447,9,141,0,0,15,29,0,3,5,0.01392515230635335,0
creator,carousel,technology,reels feed,9696,8,127,0,0,9,0,6,11,18,0.008353960396039604,0
brand,carousel,fashion,hashtags,3551,6,124,1,0,3,834,39,39,93,0.34215713883413124,1
creator,reel,fitness,profile,15986,9,100,1,0,2,239,8,7,32,0.021268610033779556,0
creator,image,music,reels feed,7486,7,125,1,0,20,183,6,6,18,0.03326208923323537,0
creator,carousel,beauty,external,5824,4,119,1,0,22,161,6,3,0,0.03125,0
brand,reel,travel,hashtags,6916,7,137,1,0,21,1492,53,72,209,0.3227299016772701,1
brand,reel,music,reels feed,4542,6,130,0,0,6,100,5,4,23,0.036988110964332896,0
creator,carousel,lifestyle,explore,6916,11,126,0,0,20,18,0,2,1,0.0037593984962406013,0
creator,carousel,music,reels feed,8167,8,116,0,0,11,362,6,14,55,0.0644055344679809,0
creator,image,comedy,reels feed,31095,9,125,1,0,17,61,2,2,4,0.0025406013828589806,0
brand,reel,photography,reels feed,22291,4,124,0,0,4,253,6,9,34,0.016150015701404154,0
creator,reel,fashion,profile,5824,4,122,0,0,22,110,3,4,15,0.02712912087912088,0
creator,reel,food,external,22291,7,124,0,0,16,91,2,4,13,0.005966533578574312,0
brand,image,travel,home feed,3447,12,113,0,0,4,69,1,4,20,0.03568320278503046,0
brand,image,food,reels feed,22291,8,117,1,0,19,535,10,23,89,0.03597864609035036,0
creator,reel,photography,external,10018,8,127,0,0,11,106,4,8,21,0.017967658215212616,0
creator,carousel,comedy,explore,10034,15,113,0,0,22,191,3,6,29,0.027207494518636636,0
creator,carousel,comedy,external,10018,7,127,0,0,15,0,18,42,126,0.04132561389498902,0
creator,carousel,photography,hashtags,4542,9,124,0,0,15,98,5,4,24,0.036988110964332896,0
creator,carousel,travel,explore,10034,13,128,1,0,21,451,17,24,72,0.06986246761012557,0
brand,image,food,explore,9696,6,119,0,0,6,89,1,4,18,0.014335808580858086,0
creator,reel,fitness,external,15923,9,125,0,0,19,192,4,12,38,0.019594297556993028,0
creator,reel,comedy,explore,3447,11,137,1,0,12,584,26,26,87,0.257615317667537,1
creator,reel,food,home feed,10018,10,112,0,0,4,224,6,11,38,0.03443801157915752,0
creator,image,technology,external,7486,10,126,0,0,23,489,12,28,69,0.09818327544750201,0
